kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Apotheek De Vaart;adres;A. Reitsmakade;37;;;1060SZ;Amsterdam;Nieuw West;http://www.apotheekdevaart.nl;;020 410 0177;020 410 0178;;;;
In Optima Forma, fysiotherapiepraktijk;adres;Tweede Jacob van Campenstraat;11;;;1073XN;Amsterdam;Zuid;http://www.inoptimaforma.nl;info@inoptimaforma.nl;020 671 3312;;;fysiotherapie, osteopathie, acupunctuur, haptotherapie, kinderoefentherapie en yoga.;;
Stichting Anonieme Gokkers Omgeving Gokkers (AGOG);postadres;Postbus;9150;;;1006AD;Amsterdam;;http://www.stoppenmetgokken.nl;info@agog.nl;06 1109 3896;;informatie over bijeenkomsten is telefonisch op te vragen.;agog is een zelfhulporganisatie voor:<br /> 1. mensen met een gokprobleem (anonieme gokkers - ag).<br /> 2. mensen die problemen hebben met het gokgedrag van iemand die hun lief is (omgeving gokker;;
Griekse Gemeenschap Amsterdam (GGA);adres;De Wittenkade;111;;sous;1052AG;Amsterdam;West;http://www.ellines.nl;ellines.nl@gmail.com;020 686 3322;;;de griekse gemeenschap (g.g.a.) is de ontmoetingsplaats voor alle grieken.             o.a. griekse les, nederlandse les, dansles, muziekles, kookles, computerles.;;
Marokkaanse Vereniging Fath;adres;Karel Doormanstraat;125;;;1055VE;Amsterdam;West;http://www.abc-west.nl/fath;molandlust@hotmail.com;06 1966 7147;;;fath biedt in de mansveltschool voorlichting, nederlandse taalles, aerobics en naailes voor vrouwen, vader & kind weekenden en huiswerkbegeleiding voor groep 7, 8 en de brugklas. fath heeft;;
Chikuba, bemiddelingsbureau in kinderopvang;adres;Linnaeushof;6;;;1098KH;Amsterdam;Oost;http://www.chikuba.nl;info@chikuba.nl;020 557 3600;;;chikuba regelt kinderopvang voor ouders, werkgevers en gemeenten.;;
Tandartsengroep Aalsmeerweg;adres;Aalsmeerweg;18;;;1059AJ;Amsterdam;Zuid;http://www.tandartsengroepaalsmeerweg.nl;;020 617 7107;;;tandartsen:<br /> mevr. m. dekker<br /> mevr. l.m. broertjes;;
Academisch Centrum Tandheelkunde Amsterdam, (ACTA);adres;GustavMahlerlaan;3004;;;1081LA;Amsterdam;Zuid;http://www.acta.nl;info@acta.nl;020 598 0380;;;acta is een samenwerkingsverband van de faculteiten tandheelkunde van de universiteit van amsterdam en de vrije universiteit.             acta doet wetenschappelijk onderzoek, geeft onderwij;;
Academisch Centrum Tandheelkunde Amsterdam, (ACTA);postadres;Postbus;7822;;;1008AA;Amsterdam;;http://www.acta.nl;info@acta.nl;020 598 0380;;;acta is een samenwerkingsverband van de faculteiten tandheelkunde van de universiteit van amsterdam en de vrije universiteit.             acta doet wetenschappelijk onderzoek, geeft onderwij;;
Academisch Medisch Centrum;postadres;Postbus;22660;;;1100DD;Amsterdam;;http://www.amc.nl;;020 566 9111;020 566 4440;;;;
Academisch Medisch Centrum;adres;Meibergdreef;9;;;1105AZ;Amsterdam;Zuidoost;http://www.amc.nl;;020 566 9111;020 566 4440;;;;
VU Medisch Centrum (VUmc);postadres;Postbus;7057;;;1007MB;Amsterdam;;http://www.vumc.nl;communicatie@vumc.nl;020 444 4444;;;;;
VU Medisch Centrum (VUmc);adres;De Boelelaan;1117;;;1081HV;Amsterdam;Zuid;http://www.vumc.nl;communicatie@vumc.nl;020 444 4444;;;;;
VU Medisch Centrum (VUmc);adres;De Boelelaan;1118;;;1081HZ;Amsterdam;Zuid;http://www.vumc.nl;communicatie@vumc.nl;020 444 4444;;;;;
Achilles fysiotherapie, ergonomie en counselling;adres;Keizersgracht;166;;;1015CZ;Amsterdam;Centrum;http://www.achilles.nu;info@achilles.nu;020 620 8514;;;achilles integreert (bedrijfs)fysiotherapie, ergonomie en psychologie bij het voorkomen en verhelpen van (werkgerelateerde) lichamelijke en/of psychische overbelastingsklachten.;;
Stichting Prisma;adres;Zwanenburgwal;260;;;1011JH;Amsterdam;Centrum;http://www.stichtingprisma.nl;info@stichtingprisma.nl;020 886 6260;;;stichting prisma is een amsterdamse instelling die zich bezighoudt met het organiseren van vrije tijds- en vormingsactiviteiten voor kinderen en volwassenen met een verstandelijke handicap. de a;;
Paramedisch Centrum Admiraal de Ruijter;adres;Admiraal De Ruijterweg;430;;-432;1055NE;Amsterdam;West;http://www.admiraalderuyter-site.nl;info@admiraalderuyter-site.nl;020 686 6723;;;"fysiotherapie    psychosomatische fysiotherapie    manuele therapie    acupunctuur<br /> ergotherapie<br /> valpreventie<br /> &nbsp;";;
Advies- en Klachtenburo Jeugdzorg (AKJ);adres;IJsbaanpad;9;;-11;1076CV;Amsterdam;Zuid;http://www.akj.nl;;088 555 1000;;;het akj is de landelijke organisatie van vertrouwenspersonen in de jeugdzorg.;;
Parkrandapotheek;adres;Ekingenstraat;21;;;1069DA;Amsterdam;Nieuw West;http://www.parkrandapotheek.nl;info@parkrandapotheek.nl;020 619 0083;020 619 9216;;;;
Marokkaanse Raad Amsterdam Oost;adres;Obiplein;16;;;1094RB;Amsterdam;Oost;http://www.mraoost.nl;mrz567@hotmail.com;020 665 2295;;;;;
ATA Personenalarmering;postadres;Postbus;94305;;;1090GH;Amsterdam;;https://www.atapersonenalarmering.nl/home;;020 592 3131;;;"ata (voorheen alarmering thuiszorg amsterdam)&nbsp;plaatst alarmeringsapparatuur bij ouderen, mensen met een beperking en ernstig zieken.";;
ATA Personenalarmering;adres;James Wattstraat;71;;;1097DL;Amsterdam;Oost;https://www.atapersonenalarmering.nl/home;;020 592 3131;;;"ata (voorheen alarmering thuiszorg amsterdam)&nbsp;plaatst alarmeringsapparatuur bij ouderen, mensen met een beperking en ernstig zieken.";;
Fysiotherapie Van Wou;adres;Rustenburgerstraat;148;;A-B;1073GJ;Amsterdam;Zuid;http://www.fysiotherapievanwou.nl;praktijk@fysiotherapievanwou.nl;020 673 0460;020 670 9539;;specialisaties:      <ul>        <li>manuele therapie </li>        <li>haptotherapie </li>        <li>kinderfysiotherapie </li>        <li>acupunctuur</li>      </ul>;;
Kring-apotheek Van Wou;adres;Van Woustraat;246;;;1073NC;Amsterdam;Zuid;https://www.vanwouapotheek.nl;info@vanwouapotheek.nl;020 662 2843;020 662 3265;;;;
Combiwel Welzijn;adres;James Wattstraat;100;;;1097DM;Amsterdam;Oost;http://www.combiwel.nl;welkom@combiwel.nl;020 575 4700;;;"combiwel welzijn verzorgt sociaal-cultureel werk en maatschappelijke dienstverlening in&nbsp;stadsdeel noord, west, nieuw-west, oost, zuidoost en zuid.";;
Algemene Hulpdienst Buitenveldert;adres;Arent Janszoon Ernststraat;112;;;1082LP;Amsterdam;Zuid;http://www.hulpdienstbuitenveldert.nl;hulpdienstbuitenveldert@hetnet.nl;020 644 4044;;"ma. t/m vrij. 9.30 &ndash; 12.30 (do. 10.00 &ndash; 12.30).";de algemene hulpdienst buitenveldert is een vrijwilligers organisatie en biedt hulp aan elke bewoner van buitenveldert.;;
ANBO, de bond voor vijftig-plussers, Gewest Amsterdam;adres;Schonerwoerdstraat;40;;;1107GB;Amsterdam;Zuidoost;http://www.anbo.nl/amsterdam;amsterdam@ambo.nl;;;;de anbo zet zich in voor belangenbehartiging van ouderen en biedt de leden ook de mogelijkheid elkaar te ontmoeten. er zijn verschillende anbo buurtgroepen.;;
Noppes ruilnetwerk;adres;Ketelhuisplein;41;;;1054RD;Amsterdam;West;http://www.noppes.nl;info@noppes.nl;020 428 8080;;;"noppes is een non-profit ruilnetwerk van diensten en goederen.<br /> &nbsp;";;
Stichting Stoelenproject;adres;Marnixstraat;248;;;1016TL;Amsterdam;Centrum;http://www.stoelenproject.nl;info@stoelenproject.nl;020 494 5727;;seizoen: 15 september t/m 30 april.<br /> elke avond plaats voor 40 mensen. tevens 5 crisisplaatsen.<br /> bij koude-opvang (als het enige dagen vriest) plaats voor 50 mensen.   tweemal per week;het stoelenproject biedt basale voorzieningen, zoals een warme en veilige plek om te slapen, een eenvoudige maaltijd en eventueel schone kleding.;;
Stichting Steunfonds bja cow;postadres;Orionstraat;205;;;1622BR;Hoorn;;http://www.steunfondsamsterdam.nl;info@steunfondsamsterdam.nl;;;;het stichting steunfonds buurt- en jongerenwerk amsterdam-centrum-oud west (bja-cow) heeft als doel projecten te stimuleren die een positieve bijdrage leveren aan het maatschappelijk welzijn in;;
Stichting Salihat;adres;Spelderholt;167;;;1025BM;Amsterdam;Noord;;;06 4619 3573;;;doelstelling: behoud van turkse sociale en culturele waarden, bevordering van integratie, bevordering participatie van geïsoleerde allochtone vrouwen.        contactpersoon: m;;
AMOC Walk-In Centre;adres;Stadhouderskade;159;;;1074BC;Amsterdam;Zuid;http://www.deregenboog.org;;020 672 1192;;inloop:<br /> - ma t/m vr: 10.00-17.00 uur (telefonisch bereikbaar van 09:00 - 18:00)    gebruikersruimte:<br /> - ma t/m vr: 10.00-17.30 uur, za en zo 12.00-19.30 uur.<br /> nachtopvang:<br /;inloophuis en gebruikersruimte voor europese drugsgebruikers. ook is er een beperkte nachtopvang waarmee 24 uur per dag opvang in een crisissituatie is gegarandeerd.<br /> o.a. spuitomruil.;;
Ango steunpunt werk, handicap & voorzieningen;adres;Maassluisstraat;98;;-100;1062GE;Amsterdam;Nieuw West;http://www.ango-werk-handicap.nl;info@ango-werk-handicap.nl;020 672 2005;;;bij het ango steunpunt kunt u terecht met al uw vragen over werk, uitkering en handicap.<br /> het steunpunt wordt gerund door mensen met veel ervaring op het gebied van handicap en werk en handicap e;;
Fysiotherapie MCN;adres;Beverwijkstraat;9;B;;1024VL;Amsterdam;;http://www.fysiomcn.nl;info@fysiomcn.nl;020 632 0220;;;fysiotherapie mcn (medisch centrum noord) is een praktijk voor fysiotherapie en manuele therapie.;;
Fysiotherapie MCN;adres;Loenermark;162;;-165;1025SP;Amsterdam;Noord;http://www.fysiomcn.nl;info@fysiomcn.nl;020 632 0220;;;fysiotherapie mcn (medisch centrum noord) is een praktijk voor fysiotherapie en manuele therapie.;;
Tandartsenpraktijk Amsterdam Noord;adres;Van der Pekstraat;92;;-94;1031EG;Amsterdam;Noord;http://www.tpan.nl;info@tpan.nl;020 634 1575;;;;;
Verloskundigen Vida;adres;"Alfred D&#246;blinstraat";56;;;1102VL;Amsterdam;Zuidoost;http://www.verloskundigenvida.nl;info@verloskundigenvida.nl;020 697 7016;;;de praktijk bestaat uit 2 teams.    team 1 werkt in de postcodegebieden: 1102, 1103, 1104, 1108, 1109, 1111, 1112, 1115.    team 2 werkt in de postcodegebieden: 1106, 1107, 1391, 1396, 3645.;;
Verloskundigen Vida;adres;Schonerwoerdstraat;7;;;1107GA;Amsterdam;Zuidoost;http://www.verloskundigenvida.nl;info@verloskundigenvida.nl;020 697 7016;;;de praktijk bestaat uit 2 teams.    team 1 werkt in de postcodegebieden: 1102, 1103, 1104, 1108, 1109, 1111, 1112, 1115.    team 2 werkt in de postcodegebieden: 1106, 1107, 1391, 1396, 3645.;;
Woningcorporatie De Alliantie;adres;Helmholtzstraat;61;A;;1098LE;Amsterdam;Oost;http://www.de-alliantie.nl;info@de-alliantie.nl;088 002 3200;;;;;
Woningcorporatie De Alliantie;postadres;Postbus;105;;;1200AC;Amsterdam;;http://www.de-alliantie.nl;info@de-alliantie.nl;088 002 3200;;;;;
ASKV / Steunpunt Vluchtelingen;adres;Frederik Hendrikstraat;111;C;;1052HN;Amsterdam;West;http://www.askv.nl/;info@askv.nl;020 627 2408;020 420 3208;;"het amsterdams solidariteits komit&eacute; vluchtelingen (askv) / steunpunt vluchtelingen ondersteunt (met name) uitgeprocedeerde asielzoekers in nederland op sociaal, materieel en juridisch gebied";;
Amsterdams Steunpunt Wonen;adres;Nieuwezijds Voorburgwal;32;;;1012RZ;Amsterdam;Centrum;http://www.steunpuntwonen.nl;info@steunpuntwonen.nl;020 523 0130;;;het amsterdams steunpunt wonen (asw) werkt aan ondersteuning van bewonersparticipatie in de regio amsterdam.             verder heeft het asw wijksteunpunten waar huurders terecht kunnen voo;;
Logopediepraktijk Bijlmer Centrum;adres;Hofgeest;341;;;1102ER;Amsterdam;Zuidoost;http://www.logopediebijlmercentrum.nl;info@logopediebc.nl;020 365 5210;020 365 5212;;;;
Atalmedial medisch diagnostisch centrum;adres;Jan Tooropstraat;138;;;1061AD;Amsterdam;Nieuw West;https://www.atalmedial.nl/;;088 003 7777;;er zijn verschillende locaties in amsterdam. zie hiervoor de website.;"activiteiten: artsenlaboratorium, trombosedienst, diabetesdienst, biometrisch onderzoek.<br /> <br /> atal heeft verschillende locaties in amsterdam waar het pati&euml;ntenmateriaal ten behoeve van";;
